No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu	0
I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.	6
In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news	2
It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.	1
I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage	3
All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein	8
Manchester derby at home 	0
her; i want a playful relationship\nme; *kicks her off the couch*	0
so gutted i dropped one of my earrings down the sink at school	1
@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom	4
Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.	0
Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb	3
@antoboyle I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad	1
should I #start posting #photos?	5
Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious	0
@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great #sting #xph	0
@PatBlanchfield so you mean “like Uber but for despair for someone other than the driver'	4
May the optimism of tomorrow be your foundation for today.	6
@andreasarahco do you actually heely on campus bc this should scare you	2
Omg I actually thought she was going to jump. #bully #SouthPark20 #southpark	5
Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815	0
#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx 🎶 xX	0
@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ 	2
After what just happened. In need to smoke. 	3
Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her	3
That old lady is cray cray #scared #BellaIsSoCute #awe #Empire	2
hi my names anxiety and i have shaun	2
On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away 😂😭	0
#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the 	3
Summer officially ends today. #sadness	1
final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob	1
I was not made for this world. #empath #unhappy	1
#chirp look out for them Cars coming from the Wesszzz	5
finally leaving my first job soon. i've been working here since i was 16. going to be kind of bitter sweet	1
Hope I sleep - no nightmare of Bakewell tarts #yuk  #GBBO	2
will brawndo cure my depression? @MikeJudge #Idiocracytoday	1
Why is it that we rejoice at a birth and grieve at a funeral? It is because we are not the person involved. ― Mark Twain	6
@Rovers what highlights ? I would imagine you will only have 30 seconds of highlights for the whole season so far . #venkysout	5
@KennyCoble @Rosie these horrific situations will only get worse if trump is elected. vote Hillary.	2
@Tomstarling86 He didn't have many chances to show what he can do but looked lively and had a good shot tipped over the bar before the end.	0
in health we did a think about depression and now i feel like i have it	1
@D_McMenemy It'll be easy to spot the parade of tiny weans in expensive jammies. Really is hilarious!	0
Muscled man with huge heart is messing with my brain and heart. #lost #confused	1
@Courteoussoul @MattyMcDee I'm at 349 and just decoded 20 or more blues and not one was over 340, where you getting your blues?	5
@MannersAboveAll *laughs louder this time, shaking my head* That was really cheesy, wasn't it?	0
@LeafyIsHere will showing off biceps scare you?	2
@TeamGrout glee	0
courage the cowardly dog is like american horror story for kids	2
This is awful	4
Gloriosa Bazigaga on #Rwanda work: 'I lost relatives in genocide but 15 yrs of peacebuilding has given me optimism it's within our power'	6
Texans and Astros both shut out tonight. Houston, we're back to normal. #texans #Astros #sadness #losers	1
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months 	1
@alliex both, scrap *ll the rage instead	3
I think they may be #offended	5
The point of living, and being an optimist, is to be foolish enough to believe the best is yet to come' - Peter Ustinov #optimism #quote	6
Mate the thing I get excited about in my profession are mad. A client said she opened her bowels, I'm rejoicing	0
I'm such a shy girl🙄	1
@Mickeyplyler @QualkTalk the refs are in GT's favor tonight. 	0
Does Bret have a point? Cena, Balor, sting...	5
I told my chiropractor 'I'm here for a good time not a long time' when he questioned my habits and yet again I have unnerved a doctor	6
@niceoneWern @Alotta_Pain the gleesome threesome	0
induction day tomorrow for pizza express #nervous	2
@SMalloy_LWOS that's not easy to blow up the LT on a run play. He created the seam for Sua to burst through	0
@DipstickDipper \n'It's alright!' She said cheerfully trying to make the moment fun	0
@kencurtin they might get Donal óg sure! They won't have him in cork as he's to fiery for dopey frank &amp; his cult	3
@SeanUnfiltered Texans are scared of this bunch! 	2
Now that @Jasmine_Wrn has snapchat back it's a constant battle to see who can get the ugliest snap of one another 😂🙃 #snap survival	0
@LiamCannon1 He's just too raging to type properly... Ha ha!	3
i have so much hair it's a nightmare but it's also very soft so it guess it's a win-lose situation	6
One step forward, two steps backward, the link to RogerFedererShop doesn´t work.😰 I am losing hope about Roger Federer new Website #sadness	1
The Pats are awesome. Belichick is awesome ...they just are. 	0
Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! 	3
Now #India is #afraid of #bad .	2
HMS Pinafore' time.\n\nI need some mirth.	0
if Man U lose i may actually have a nervous breakdown	2
@thehill George H. Establishment is unhappy Trump's campaign branded his son low-energy, but he could not have beaten the others either.	4
B day next week, catch the sauce and watch the heaviness!	0
Carry on my wayward son, there'll be peace when you are done. Lay your weary head to rest. Don't you cry no more. #Supernatural	6
@ImJim_YoureNot  cyber bully	3
@CNN bully	3
Hannah: 'This week on Survivor: Find out who is more buoyant. Gen X or Millenials!' #survivor	5
Well stock finished &amp; listed, living room moved around, new editing done &amp; fitted in a visit to the in-laws. #productivityatitsfinest #happy	0
#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of 	4
Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of ?	3
The bounty hunter things a bit lively	0
@WriterlyTweets Supine on the piano—lips parted. #sixwordstory #amwriting #blues #singer	0
@punjabified porkistan lost terribly in 65 because of american intervation to talk we stopped	4
7 pax enjoyed the #gloom @Clayorangecrush @F3LakeMurray	0
Dehydrated, exhausted, stressed but still blessed. #optimism	6
JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics 	5
Lunatic Asylum: The place where optimism most flourishes.	6
Damn gud #premiere #LethalWeapon...#funny and #serious	0
